Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
AALR3 ,"18,50",ON NM,30/11/2021,ALLIAR ON NM,"8,63",Serv.Méd.Hospit. Análises e Diagnósticos,"18,65",Serv.Méd.Hospit. Análises e Diagnósticos,18.459.600
AMIL3,"32,20",ON NM,08/05/2013,AMIL ON NM,"0,00",Serv.Méd.Hospit. Análises e Diagnósticos,"0,00",Serv.Méd.Hospit. Análises e Diagnósticos,0
AMAR3,"3,69",ON NM,30/11/2021,LOJAS MARISA ON NM,"3,69",Comércio,"10,01","Tecidos, Vestuário e Calçados",33.815.400
ALUP4,"8,06",PN N2,30/11/2021,ALUPAR PN N2,"7,37",Energia Elétrica,"9,54",Energia Elétrica,984.038
ALUP3,"8,11",ON N2,30/11/2021,ALUPAR ON N2,"7,64",Energia Elétrica,"9,31",Energia Elétrica,981.900
ALPA3,"32,85",ON N1,30/11/2021,ALPARGATAS ON N1,"28,80","Tecidos, Vestuário e Calçados","52,36",Calçados,81.348
ALLL4,"3,32",PN,21/10/2010,RUMO S.A. PN,"0,00",Transporte,"0,00",Transporte Ferroviário,0
AHEB5,"23,00",PNA,24/11/2021,PARQUE ANHEMBI PNA,"18,00",Viagens e Lazer,"25,50",Produção de Eventos e Shows,380
AGXY3,"8,97",ON NM,30/11/2021,AGROGALAXY ON NM,"7,00",Agropecuária,"10,65",Agricultura,336.084
AGRO3,"23,54",ON NM,30/11/2021,BRASILAGRO ON NM,"19,76",Agropecuária,"32,85",Agricultura,26.752.700
ALSO3,"20,56",ON,30/11/2021,ALIANSCSONAE ON,"19,18",Exploração de Imóveis,"32,07",Exploração de Imóveis,32.125.000
YDUQ3,"21,83",ON,30/11/2021,YDUQS PART ON,"20,86",Diversos,"36,55",Serviços Educacionais,73.384.300
ALSC3,"27,75",ON NM,05/08/2019,ALIANSCE ON NM,"18,48",Exploração de Imóveis,"28,35",Exploração de Imóveis,0
